State,Tract,County,StateLegislativeDistrictsUpper
36,010805,029,063
36,010807,029,063
36,010808,029,063
36,010809,029,063
36,010900,015,058
36,010900,043,051
36,010900,061,027
36,010900,061,031
36,010900,067,050
36,010900,079,041
36,010901,029,063
36,010901,055,055
36,010901,071,039
36,010901,087,038
36,010901,119,035
36,010902,029,063
36,010902,055,055
36,010902,071,039
36,010902,087,038
36,010902,119,035
36,010903,119,035
36,011000,005,034
36,011000,015,058
36,011000,029,063
36,011000,047,017
36,011000,047,021
36,011000,055,055
36,011000,061,028
36,011000,071,042
36,011000,079,041
36,011000,081,010
36,011000,087,038
36,011000,119,035
36,011001,043,049
36,011002,043,049
36,011011,067,050
36,011012,067,050
36,011021,067,050
36,011022,067,050
36,011100,015,058
36,011100,029,063
36,011100,043,051
36,011100,055,055
36,011100,061,027
36,011100,079,040
36,011100,081,013
36,011101,067,050
36,011101,071,042
36,011101,087,038
36,011101,119,035
36,011102,067,050
36,011102,071,042
36,011102,087,038
36,011102,119,035
36,011200,015,058
36,011200,029,059
36,011200,043,051
36,011200,047,017
36,011200,071,042
36,011200,079,040
36,011200,081,010
36,011200,081,015
36,011200,087,038
36,011200,119,035
36,011201,055,054
36,011201,061,028
36,011201,067,050
36,011201,085,024
36,011202,061,028
36,011202,067,050
36,011202,085,024
36,011203,055,054
36,011203,061,028
36,011205,055,054
36,011207,055,054
36,011208,055,054
36,011231,067,050
36,011232,067,050
36,011241,067,050
36,011242,067,050
36,011300,029,059
36,011300,061,027
36,011300,061,031
36,011300,067,050
36,011300,071,042
36,011300,079,040
36,011300,081,013
36,011300,119,035
36,011301,043,051
36,011301,055,054
36,011301,087,038
36,011302,043,051
36,011302,055,054
36,011302,087,038
36,011303,087,038
36,011400,029,059
36,011400,043,049
36,011400,043,051
36,011400,047,017
36,011400,055,054
36,011400,071,042
36,011400,079,040
36,011400,081,010
36,011400,119,035
36,011401,061,028
36,011401,067,050
36,011401,085,024
36,011401,087,038
36,011402,061,028
36,011402,067,050
36,011402,085,024
36,011403,087,038
36,011404,087,038
36,011405,087,038
36,011500,029,059
36,011500,061,027
36,011500,061,031
36,011500,067,050
36,011500,071,042
36,011500,079,040
36,011500,081,012
36,011500,081,013
36,011500,119,035
36,011501,043,049
36,011501,055,055
36,011501,087,038
36,011502,005,032
36,011502,005,034
36,011502,043,049
36,011502,087,038
36,011503,055,055
36,011504,055,055
36,011504,087,038
36,011505,055,055
36,011505,087,038
36,011506,087,038
36,011600,029,059
36,011600,047,017
36,011600,061,028
36,011600,061,029
36,011600,067,050
36,011600,079,040
36,011600,081,010
36,011600,119,040
36,011601,055,055
36,011601,071,042
36,011601,087,038
36,011602,071,042
36,011602,087,038
36,011603,055,055
36,011603,087,038
36,011604,055,055
36,011605,055,055
36,011700,005,032
36,011700,005,034
36,011700,029,059
36,011700,047,020
36,011700,047,025
36,011700,061,027
36,011700,061,031
36,011700,067,050
36,011700,079,040
36,011700,081,012
36,011700,081,013
36,011700,087,038
36,011700,119,040
36,011701,071,042
36,011702,071,042
36,011703,055,055
36,011705,055,055
36,011706,055,055
36,011707,055,055
36,011708,055,055
36,011800,005,034
36,011800,029,059
36,011800,047,017
36,011800,047,020
36,011800,047,023
36,011800,055,055
36,011800,061,028
36,011800,067,050
36,011800,079,040
36,011800,081,010
36,011800,087,038
36,011800,119,040
36,011801,071,042
36,011802,071,042
36,011900,005,032
36,011900,047,020
36,011900,047,025
36,011900,061,027
36,011900,067,050
36,011900,071,042
36,011900,079,040
36,011900,081,012
36,011900,081,013
36,011901,007,052
36,011901,055,055
36,011901,087,038
36,011902,007,052
36,011902,055,055
36,011902,087,038
36,011902,119,040
36,011903,007,052
36,012000,007,052
36,012000,047,017
36,012000,047,023
36,012000,055,055
36,012000,061,028
36,012000,067,050
36,012000,081,010
36,012000,087,038
36,012000,119,040
36,012001,029,059
36,012002,029,059
36,012003,029,059
36,012100,047,020
36,012100,047,025
36,012100,055,055
36,012100,061,027
36,012100,067,050
36,012100,071,042
36,012100,081,012
36,012100,081,013
36,012100,085,024
36,012101,005,032
36,012101,007,052
36,012101,087,038
36,012101,119,040
36,012102,005,032
36,012102,007,052
36,012102,087,038
36,012102,119,040
36,012103,007,052
36,012103,087,038
36,012105,087,038
36,012106,087,038
36,012200,047,020
36,012200,047,023
36,012200,061,028
36,012200,067,050
36,012200,071,042
36,012200,081,010
36,012200,085,024
36,012200,119,040
36,012201,007,052
36,012201,055,055
36,012202,007,052
36,012202,055,055
36,012202,087,038
36,012203,087,038
36,012204,087,038
36,012300,005,032
36,012300,007,052
36,012300,029,063
36,012300,067,050
36,012300,071,042
36,012300,087,038
36,012301,055,055
36,012301,081,013
36,012301,119,037
36,012303,119,037
36,012304,055,055
36,012304,119,037
36,012305,055,055
36,012306,055,055
36,012400,007,052
36,012400,029,063
36,012400,061,028
36,012400,061,029
36,012400,067,050
36,012400,081,010
36,012400,119,040
36,012401,055,055
36,012401,087,038
36,012402,055,055
36,012402,087,038
36,012500,005,032
36,012500,007,052
36,012500,055,056
36,012500,061,027
36,012500,067,050
36,012500,081,012
36,012500,085,023
36,012500,085,024
36,012501,029,063
36,012501,087,038
36,012501,119,040
36,012502,029,063
36,012502,087,038
36,012502,119,040
36,012503,119,040
36,012600,007,052
36,012600,047,023
36,012600,055,056
36,012600,061,028
36,012600,067,050
36,012600,087,038
36,012600,119,037
36,012601,071,039
