Station (alphabetical by borough),Boro,2008,2009,2010,2011,2012,2013,2014
183 St (4) ,Bx,5890,5954,6071,6162,6319,6360,6356
46 St-Bliss St (7) ,Q,14561,14273,14389,14479,14499,14656,14634
Christopher St-Sheridan Sq (1) ,M,10136,10016,10005,10077,10068,10076,10060
Burnside Av (4) ,Bx,10433,10909,11232,11243,11387,11560,11538
"7 Av (F,G) ",B,10903,10643,11018,12792,12118,12268,12242
"Elmhurst Av (M,R)",Q,13885,13410,13253,13426,13562,13597,13568
"Church Av (F,G) ",B,9305,9174,9429,10463,9985,9984,9954
Hunts Point Av (6) ,Bx,10612,10512,10494,10316,10389,10144,10111
111 St (J) ,Q,2637,2607,2650,2683,2613,2605,2596
"Flatbush Av-Brooklyn College (2,5) ",B,20338,20159,21355,22168,21942,21941,21865
"Prospect Park (B,Q,S) ",B,8675,8641,8496,8557,9024,9761,9715
"72 St (1,2,3) ",M,36311,36287,36900,39180,40271,40853,40639
"Woodhaven Blvd (M,R)",Q,23826,23035,22673,22502,22521,22276,22156
Ocean Pkwy (Q) ,B,2992,3075,3350,3314,3155,3141,3124
"75 Av (E,F) ",Q,3687,3595,3692,3811,3735,3763,3742
50 St (D) ,B,3279,3130,3129,3008,3172,3308,3289
Astor Place (6) ,M,17927,17376,17630,17632,17607,17914,17803
Liberty Av (C) ,B,2960,2871,2746,2687,2632,2658,2639
"Nereid Av (2,5) ",Bx,3107,3080,3307,3420,3603,3878,3850
"Canal St (J,N,Q,R,Z,6) ",M,47383,46450,46435,45700,45952,44696,44362
"Newkirk Plaza (B,Q) ",B,10004,9375,9179,9672,9890,10788,10707
Jamaica-179 St (F) ,Q,23394,22535,22766,23174,23330,23280,23093
